feature,anova_f,mutual_info
m_bb,1970.61232,0.04974
m_wwbb,1904.87868,0.02072
missing_energy_magnitude,792.39393,0.00625
m_wbb,455.58256,0.02225
jet1_pt,319.32288,0.00277
jet2_b_tag,270.98717,0.00336
jet4_pt,143.40819,0.00353
lepton_pT,112.49433,0.00474
m_jjj,60.32494,0.01544
jet3_b_tag,40.95141,0.00356
jet4_b_tag,37.89439,0.0
jet2_pt,26.61483,0.00118
m_lv,19.04802,0.00181
m_jj,16.5741,0.00206
jet1_b_tag,15.63151,0.00622
jet3_pt,12.30065,0.0
m_jlv,3.61914,0.00812
jet2_eta,3.14803,0.00077
jet1_phi,2.10959,0.00043
jet3_eta,1.6071,0.0009
jet4_phi,1.56942,0.00179
lepton_phi,0.843,0.0
jet4_eta,0.69167,0.00186
jet2_phi,0.35293,0.00097
lepton_eta,0.3067,0.00219
missing_energy_phi,0.03724,0.0
jet1_eta,0.02827,0.00062
jet3_phi,0.00555,0.0
