accuracy,precision,recall,f1,roc_auc,fold,model,secilen_k,gecen_sure
0.7218,0.7361,0.7359,0.736,0.7997,1,XGBoost,15,54.9
0.72,0.7347,0.7334,0.7341,0.7945,2,XGBoost,15,79.9
0.7238,0.7347,0.7448,0.7397,0.801,3,XGBoost,15,110.8
0.7165,0.7332,0.7262,0.7297,0.7891,4,XGBoost,15,150.0
0.7249,0.7393,0.7382,0.7387,0.7993,5,XGBoost,15,183.4
0.7014,0.7014,0.7546,0.727,0.769,1,MLP,15,512.2
0.6942,0.6937,0.7513,0.7213,0.7593,2,MLP,15,809.9
0.7002,0.6967,0.763,0.7284,0.7672,3,MLP,15,1140.6
0.6949,0.6925,0.7571,0.7234,0.7584,4,MLP,15,1433.4
0.6984,0.6972,0.7559,0.7253,0.7647,5,MLP,15,1602.4
0.6,0.605,0.6857,0.6429,0.649,1,KNN,10,1603.1
0.615,0.6067,0.7678,0.6778,0.6588,2,KNN,10,1603.8
0.62,0.6224,0.7109,0.6637,0.6537,3,KNN,10,1604.5
0.575,0.5817,0.6919,0.632,0.6116,4,KNN,10,1605.2
0.6375,0.6179,0.8199,0.7047,0.6667,5,KNN,10,1605.9
0.645,0.6417,0.7333,0.6844,0.7181,1,SVM,10,1611.2
0.64,0.6367,0.7393,0.6842,0.7211,2,SVM,10,1616.3
0.665,0.6791,0.6919,0.6854,0.6992,3,SVM,10,1621.5
0.6,0.6076,0.6825,0.6429,0.6738,4,SVM,10,1626.6
0.65,0.6437,0.7536,0.6943,0.7037,5,SVM,10,1631.7
